"age_group","contact_[0,10)","contact_[10,20)","contact_[20,30)","contact_[30,40)","contact_[40,50)","contact_[50,60)","contact_[60,70)","contact_70+"
"[0,10)","2.70633366490937","0.762316075343752","0.483200864426455","1.16563152407241","0.7926617190364","0.353497709216345","0.427116358634209","0.0877076647193905"
"[10,20)","0.671297117658564","3.30952851956192","0.316996792822633","0.414573462831332","0.919508481016896","0.27432596490346","0.0881279389254823","0.093703502660016"
"[20,30)","0.488343373773556","0.347937829560125","1.47665175393819","0.403574383575401","0.173386349978513","0.318551023576462","0.0485956069011696","0.0250499020125755"
"[30,40)","0.979752389306937","0.388980748301527","0.387198313360306","0.9930495390521","0.435267901936871","0.322416575127989","0.1470292596513","0.0698466110970356"
"[40,50)","0.408422827771517","0.812867383165318","0.228687030576406","0.42635790243465","0.982300455179946","0.470073260576594","0.1150475139941","0.144067779952311"
"[50,60)","0.208906452550941","0.144007954161498","0.258131306224937","0.297961075931969","0.453199400566563","0.778091912605611","0.211768950463225","0.148997132522109"
"[60,70)","0.276921994786775","0.0940703061871769","0.122478563863858","0.190180860238862","0.281090094023958","0.417615671773547","0.734660174598837","0.324853010759841"
"70+","0.185638453877818","0.0179413219537955","0.0439547750072863","0.0717154508097547","0.143181716592373","0.257176713456492","0.555234077464543","0.827260588911891"
