43909.55; 55.64
41968.09; 76.35
39836.32; 74.87
40721.27; 94.90
38924.51; 122.73
35938.07; 32.66
31887.59; 40.61
44784.62; 281.33
29321.72; 132.99
23786.13; 189.98
26864.18; 41.45
24011.61; 55.78
24392.42; 33.37
22982.25; 32.08
22472.02; 34.04
19910.58; 103.03
20057.58; 109.32
20375.69; 65.39
20076.84; 60.42
18919.18; 52.63
17566.23; 43.20
18105.82; 32.75
18515.14; 32.75
16936.77; 26.89
15723.07; 24.37
16063.10; 44.08
15694.93; 73.70
15462.26; 75.18
12453.24; 91.69
15258.40; 27.44
15030.28; 30.29
14924.42; 23.89
14378.58; 23.90
14162.71; 27.45
14267.27; 29.12
14055.31; 30.30
14373.06; 30.29
13046.43; 29.71
12664.51; 28.01
12763.72; 22.53
12481.95; 22.10
12117.33; 20.02
10998.20; 20.43
10602.06; 14.31
10593.58; 23.46
10668.04; 30.94
13337.53; 35.50
12848.50; 37.67
12014.68; 38.43
12941.29; 44.12
12467.19; 45.91
12096.42; 58.20
11481.98; 57.08
10420.53; 61.80
10423.86; 50.72
10504.52; 43.30
10506.20; 39.22
