123803.71; 3447.01
202480.38; 3178.27
262732.29; 3868.50
428024.07; 397.66
644918.19; 374.10
737728.15; 306.84
909385.44; 219.08
664069.57; 523.43
654183.18; 555.44
752045.27; 2128.49
746247.19; 2542.96
763117.68; 2542.71
652553.30; 2595.21
729516.31; 3098.98
768309.32; 3850.72
691929.22; 4883.62
712841.30; 4980.47
718081.21; 5390.03
395361.43; 8023.75
651239.82; 9014.66
666005.06; 8664.43
701600.26; 9191.66
685804.56; 11885.69
675659.42; 11886.45
1184451.99; 2588.58
1314863.83; 2390.74
1385846.80; 1848.61
1450003.18; 1320.81
1249153.50; 1374.94
1517420.78; 838.17
1587160.56; 729.73

