"contact_[0,5)","contact_[5,10)","contact_[10,15)","contact_[15,20)","contact_[20,25)","contact_[25,30)","contact_[30,35)","contact_[35,40)","contact_[40,45)","contact_[45,50)","contact_[50,55)","contact_[55,60)","contact_[60,65)","contact_[65,70)","contact_70+"
1.47364508983028,0.680701857764756,0.317206672781769,0.235120316069435,0.485148509256752,0.618802893844927,0.731889388749492,0.907067604254581,0.307068799563914,0.254952869316657,0.32211840034181,0.184163699592435,0.195351710033072,0.08451978172076,0.114812461763606
0.661949375555956,3.86921007199581,0.636188874109144,0.378718486698057,0.320376637561819,0.411703845478459,0.753615296727717,1.02266347778019,0.758161607668495,0.215562962379163,0.210584411589903,0.163918766764359,0.23660758474844,0.181240250164189,0.232385582650614
0.28682753549253,0.591557214872062,3.23379780267467,0.649072515808208,0.149297013938551,0.120373741871976,0.307466970855863,0.632330786974459,0.738226068931079,0.279679976809087,0.199708817203146,0.137933795328856,0.113701510082415,0.0947099929869863,0.263883004108716
0.205270740451722,0.340005197772932,0.62668829773482,2.99625790538769,0.531533886645046,0.16341015777765,0.186079352573687,0.353258078300183,0.489980046330814,0.402982401941441,0.232456812786822,0.126526112950394,0.0841158127215718,0.126594620433251,0.402538920226675
0.428930666094751,0.291276464013834,0.145977187008446,0.538277790160474,1.34703580399981,0.510336631568607,0.342729590440049,0.197967342818184,0.236894459337522,0.540042060277829,0.183956082458723,0.1826092980844,0.0814253864705565,0.116056089918166,0.0879078832266426
0.568776285417489,0.389140315929399,0.122360820019587,0.172040739985753,0.530558762628434,0.602017687718639,0.413132330522951,0.255096793332088,0.265207515673095,0.263175950431046,0.219661878876957,0.264804928196864,0.157056371732237,0.0687025039475736,0.0798772013342901
0.606254958687579,0.641935978712327,0.281662996772096,0.176551392594336,0.321106472365358,0.372314449535291,0.795566127849528,0.367954483789305,0.281900141616739,0.278289187368987,0.154920997049665,0.167042526360637,0.143370116442928,0.0540312177055909,0.137658170762444
0.667971122513545,0.774431369744713,0.514972255430609,0.297970480436344,0.164891849523117,0.204377878126146,0.327116369403624,0.741924508240298,0.474108820705035,0.205991285363614,0.155171320554694,0.146299597323894,0.204937940307653,0.0955353098067014,0.125236633666811
0.228206236859782,0.579409705813857,0.606740058198494,0.417093402865555,0.199128914288791,0.214431459227029,0.252916555887873,0.478466815765164,0.471893242256007,0.34131592470612,0.156476521268373,0.113521852464044,0.162597740099463,0.0736976449426286,0.376100148543557
0.22117917745896,0.192305026901332,0.268328734740868,0.4004363773032,0.529906838761228,0.248394165223912,0.291454532821461,0.242669475263687,0.398427281192997,0.542359236024792,0.241502971827177,0.236493215596965,0.129356992997735,0.0861219573954772,0.338124818829513
0.307690136579143,0.206850425952366,0.210968081569912,0.254333417971836,0.198746641005968,0.228277753679701,0.178648128553189,0.20127575568439,0.201120067017129,0.265910927966815,0.364822018397698,0.283857230858913,0.12727364803677,0.0469476040159282,0.249542682327905
0.163588897211938,0.149730622816287,0.135500829385282,0.128733942001581,0.183467982567062,0.255909679417287,0.179129449184775,0.176471628581204,0.135686751504847,0.242149817348657,0.263968263137703,0.597172162549819,0.237136756897512,0.128887967274762,0.24745632365196
0.21619441567962,0.269270065570752,0.139160173187561,0.106627200774569,0.101923584213736,0.189100932468514,0.19154730210965,0.307986436300801,0.242130746815348,0.165018574646178,0.147457785090522,0.295444790647439,0.249686124885609,0.209730490408067,0.198033432760972
0.107995217340341,0.23814033929269,0.133833067956468,0.185278281971571,0.167726503997839,0.0955057627053677,0.0833452892625671,0.165764695878689,0.126709141274343,0.126845689466909,0.0628002753583229,0.185399575918673,0.242147769908087,0.468819560378408,0.653990882135224
0.0570346626046507,0.118711061241449,0.144971536064524,0.229045009162755,0.0493929851939432,0.0431701485630208,0.0825547352161433,0.0844818084519605,0.251397835651263,0.193616588162651,0.129776675876278,0.138388056521508,0.0888916788946307,0.254258444186938,0.781997077282769
